Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
12,0.549022105,0.086284084,0.059812315,0.132477865,11.55403689,0.009771885,0.180481959,0.091920902,0.155160997,0.002173906,11.64383453,1.386396104,0.049618085,0.158132192,0.292573404,1.90463772,0.37075945,0.034320849,0.027376989,0.013704782,3.076743206,0.042776377,0.046700059,0.099017107,0.419872128,0.27220639,0.117844603,0.024168991,0.707756874,0.082187351
13,0.58823797,0.086284084,0.059812315,0.185469012,13.69809929,0.009771885,0.180481959,0.091920902,0.155160997,0.002173906,17.87054768,1.73299513,0.049618085,0.158132192,0.292573404,1.90463772,0.37075945,0.034320849,0.027376989,0.013704782,4.102324274,0.042776377,0.046700059,0.099017107,0.419872128,0.27220639,0.132575178,0.033232362,0.808864999,0.082187351
14,0.58823797,0.086284084,0.059812315,0.185469012,16.47092919,0.009771885,0.180481959,0.091920902,0.167096459,0.002173906,27.81185835,2.310660173,0.049618085,0.173945411,0.312078298,2.344169501,0.37075945,0.034320849,0.027376989,0.013704782,4.786044987,0.042776377,0.046700059,0.099017107,0.461859341,0.358166302,0.132575178,0.033232362,0.808864999,0.082187351
15,0.58823797,0.086284084,0.059812315,0.185469012,19.06450825,0.009771885,0.180481959,0.091920902,0.167096459,0.002173906,34.78863446,4.27472132,0.049618085,0.173945411,0.370592979,3.223233064,0.494345934,0.034320849,0.027376989,0.013704782,4.786044987,0.042776377,0.046700059,0.099017107,0.461859341,0.358166302,0.132575178,0.033232362,0.808864999,0.102734189
16,0.58823797,0.086284084,0.059812315,0.185469012,21.25095167,0.009771885,0.180481959,0.168521653,0.190967381,0.002173906,41.82493938,4.967919372,0.049618085,0.173945411,0.448612554,3.223233064,0.494345934,0.034320849,0.027376989,0.013704782,5.127905343,0.042776377,0.046700059,0.099017107,0.671795405,0.358166302,0.132575178,0.033232362,0.808864999,0.102734189
17,0.58823797,0.086284084,0.059812315,0.185469012,23.69862888,0.019543769,0.180481959,0.168521653,0.190967381,0.002173906,56.5166488,7.047513527,0.049618085,0.19766524,0.468117447,4.688339002,0.556139176,0.034320849,0.027376989,0.013704782,5.640695877,0.042776377,0.046700059,0.099017107,0.671795405,0.358166302,0.132575178,0.033232362,0.808864999,0.133554446
18,0.58823797,0.086284084,0.059812315,0.185469012,25.57728887,0.019543769,0.180481959,0.168521653,0.190967381,0.002173906,69.32724793,7.047513527,0.049618085,0.19766524,0.468117447,4.688339002,0.556139176,0.034320849,0.027376989,0.013704782,6.837207124,0.042776377,0.046700059,0.099017107,0.713782618,0.458452867,0.132575178,0.033232362,0.808864999,0.133554446
19,0.58823797,0.086284084,0.059812315,0.185469012,27.67202256,0.019543769,0.180481959,0.168521653,0.190967381,0.002173906,78.17322856,8.664975649,0.049618085,0.205571849,0.487622341,6.006934346,0.556139176,0.034320849,0.027376989,0.013704782,7.691858014,0.042776377,0.046700059,0.099017107,0.75576983,0.458452867,0.132575178,0.033232362,0.909973123,0.143827865
20,0.58823797,0.086284084,0.059812315,0.185469012,29.4263186,0.019543769,0.180481959,0.168521653,0.190967381,0.002173906,85.25715653,9.127107683,0.049618085,0.205571849,0.526632128,8.937146223,0.587035796,0.034320849,0.027376989,0.013704782,8.033718371,0.042776377,0.046700059,0.099017107,0.75576983,0.458452867,0.132575178,0.033232362,0.909973123,0.154101284
21,0.58823797,0.086284084,0.059812315,0.185469012,30.83809268,0.029315654,0.180481959,0.168521653,0.190967381,0.002173906,95.74613221,11.55330086,0.049618085,0.205571849,0.546137022,8.937146223,0.587035796,0.034320849,0.027376989,0.013704782,8.546508905,0.042776377,0.046700059,0.099017107,0.75576983,0.472779519,0.132575178,0.036253486,0.909973123,0.154101284
22,0.58823797,0.086284084,0.059812315,0.185469012,31.09724215,0.146578271,0.180481959,0.168521653,0.190967381,0.002173906,107.1518515,14.55715909,0.330787231,0.221385069,0.546137022,11.28131572,0.679725659,0.034320849,0.027376989,0.013704782,9.91395033,0.042776377,0.046700059,0.099017107,0.75576983,0.472779519,0.132575178,0.036253486,0.909973123,0.164374703
23,0.58823797,0.086284084,0.059812315,0.211964585,41.6132916,0.146578271,0.180481959,0.183841804,0.190967381,0.002173906,119.9505449,17.90761634,1.025440416,0.221385069,0.546137022,13.62548522,0.679725659,0.034320849,0.027376989,0.013704782,11.45232193,0.042776377,0.046700059,0.099017107,0.75576983,0.472779519,0.132575178,0.03927461,0.909973123,0.164374703
24,0.58823797,0.086284084,0.059812315,0.211964585,46.10359469,0.478822352,0.180481959,0.183841804,0.190967381,0.002173906,135.2970712,24.60853084,2.56360104,0.229291678,0.546137022,16.11616532,0.679725659,0.034320849,0.027376989,0.013704782,12.30697282,0.042776377,0.046700059,0.099017107,0.75576983,0.472779519,0.132575178,0.03927461,0.909973123,0.164374703
25,0.58823797,0.086284084,0.059812315,0.211964585,47.5313485,0.53745366,0.180481959,0.183841804,0.190967381,0.002173906,151.5484353,25.18619589,3.787513794,0.339984213,0.546137022,16.11616532,0.679725659,0.034320849,0.027376989,0.013704782,12.81976336,0.12832913,0.046700059,0.099017107,0.75576983,0.472779519,0.19149748,0.03927461,1.314405623,0.164374703
26,0.58823797,0.086284084,0.059812315,0.211964585,48.99036699,0.576541199,0.180481959,0.183841804,0.190967381,0.002173906,165.9425007,28.88325216,5.325674418,0.466489966,0.565641915,17.58127126,0.679725659,0.034320849,0.027376989,0.013704782,13.16162371,0.278046449,0.046700059,0.099017107,0.839744256,0.487106171,0.19149748,0.03927461,1.314405623,0.164374703
27,0.58823797,0.172568167,0.059812315,0.238460158,50.32502152,0.586313084,0.180481959,0.183841804,0.190967381,0.002173906,178.4792673,35.12203463,7.492330781,0.521836233,0.585146809,19.48590898,0.679725659,0.034320849,0.027376989,0.013704782,13.84534443,0.320822826,0.046700059,0.198034213,0.923718681,0.501432823,0.19149748,0.03927461,1.314405623,0.164374703
28,0.58823797,0.690272669,0.059812315,0.238460158,51.55962907,0.654716277,0.180481959,0.183841804,0.190967381,0.002173906,192.5042541,49.33259469,10.83328181,0.58508911,0.604651703,23.00216323,0.679725659,0.034320849,0.027376989,0.013704782,14.35813496,0.684422028,0.046700059,0.693119747,0.923718681,0.501432823,0.22095863,0.03927461,1.314405623,0.164374703
29,0.58823797,1.121693087,0.059812315,0.238460158,51.84309552,0.781750779,0.360963918,0.183841804,0.190967381,0.002173906,206.6959216,61.11696157,14.68695305,0.664155206,0.604651703,23.88122679,0.679725659,0.034320849,0.027376989,0.013704782,14.35813496,0.962468478,0.046700059,0.693119747,0.965705894,0.501432823,0.294611507,0.03927461,1.314405623,0.164374703
30,0.58823797,1.984533923,0.059812315,0.264955731,52.1613005,1.065135436,0.360963918,0.183841804,0.202902843,0.002173906,219.1493479,82.25950216,18.65639982,0.743221302,2.028508938,27.39748104,0.679725659,0.034320849,0.027376989,0.013704782,14.52906514,1.796607825,0.046700059,1.18820528,1.007693107,0.501432823,0.338803233,0.03927461,1.314405623,0.164374703
31,0.58823797,4.314204181,0.059812315,0.291451304,52.48992705,1.074907321,0.360963918,0.183841804,0.322257456,0.002173906,233.8767746,102.0156466,28.01767846,0.830194007,3.978998301,36.33462727,0.679725659,0.034320849,0.027376989,0.013704782,14.52906514,2.566582607,0.046700059,1.386239494,1.091667533,0.501432823,0.530300712,0.045316858,1.921054372,0.164374703
32,0.58823797,9.404965114,0.059812315,0.291451304,53.49803935,1.46578271,0.541445877,0.183841804,0.549031221,0.002173906,245.37774,123.7358523,33.67414011,0.964606371,8.445618942,39.11832855,0.679725659,0.034320849,0.027376989,0.020557173,15.21278585,3.529051084,0.046700059,1.4852566,1.091667533,0.501432823,0.589223014,0.045316858,2.123270621,0.164374703
33,0.58823797,14.58201013,0.059812315,0.34444245,53.51262953,1.915289407,1.082891754,0.214482104,0.572902144,0.003623177,257.6168626,143.0298647,41.38148259,1.16227161,11.74194597,46.59036883,0.679725659,0.034320849,0.027376989,0.020557173,15.21278585,4.748177823,0.046700059,2.07935924,1.175641958,0.501432823,0.751259343,0.045316858,2.123270621,0.164374703
34,0.58823797,17.25681672,0.059812315,0.370938023,53.66478432,1.915289407,1.082891754,0.275762706,0.942901445,0.003623177,274.4158917,273.6976975,51.09008782,1.257150925,16.2475764,48.78802774,0.71062228,0.034320849,0.027376989,0.020557173,15.55464621,5.539540793,0.046700059,3.465598734,1.259616384,0.501432823,1.252098904,0.154077316,2.123270621,0.164374703
35,0.980396617,20.62189598,0.059812315,0.529911462,54.02120169,2.501602491,1.082891754,0.582165712,1.551609973,0.020289791,295.3938431,311.1303923,63.80885685,1.344123631,19.05628108,53.91589852,0.71062228,0.034320849,0.027376989,0.027409564,15.89650656,8.555275356,0.046700059,9.307608029,1.301603597,0.530086127,1.694016165,0.154077316,2.72991937,0.164374703
36,1.058828346,23.03785033,0.059812315,0.635893754,54.30744722,2.784987149,1.082891754,0.873248568,1.897738352,0.021739061,321.6579525,350.6426812,76.67648013,1.494349213,24.59567087,57.28564218,0.772415522,0.034320849,0.027376989,0.089081084,15.89650656,10.6940942,0.046700059,10.00072778,1.343590809,0.573066083,2.401083781,0.172204059,2.72991937,0.164374703
37,1.17647594,27.09320226,0.059812315,0.715380474,54.60897771,2.872934111,2.165783508,1.532015031,2.339350421,0.022463697,350.1008162,418.1139583,97.30106398,1.692014453,34.44564215,60.36236465,0.896002005,0.034320849,0.045628316,0.089081084,15.89650656,14.39425079,0.046700059,15.94175418,1.343590809,0.573066083,3.034498521,0.175225183,2.93213562,0.164374703
38,1.529418722,27.09320226,0.059812315,0.794867193,54.8368625,3.195406307,2.707229385,1.991619541,3.127090869,0.024637603,384.9370737,490.6686877,121.9777914,1.802706988,45.58293642,64.17164009,0.896002005,0.034320849,0.054753979,0.116490648,17.43487817,22.94952614,0.046700059,20.10047266,1.427565235,0.587392735,4.02144707,0.18126743,2.93213562,0.164374703
39,2.039224963,48.23280274,0.059812315,0.874353912,55.13422437,3.576509812,2.707229385,2.92614871,5.752892362,0.02826078,421.5591954,542.4274756,151.6990241,1.905492912,61.44041494,65.34372484,1.112278351,0.034320849,0.091256631,0.116490648,18.11859888,36.25297932,0.046700059,24.55624246,1.637501299,0.601719387,4.728514686,0.205436421,4.549865617,0.164374703
40,2.156872557,59.44973361,0.059812315,0.980336204,55.53441229,3.928297662,4.151085058,3.125310664,7.996759093,0.031159321,456.0978089,619.0258603,167.8579803,2.024092056,72.87028261,68.85997909,1.544831043,0.034320849,0.182513262,0.137047821,18.46045923,48.70090496,0.046700059,35.15107288,1.679488512,0.601719387,5.627079782,0.223563164,4.549865617,0.164374703
41,2.35295188,76.44769808,0.059812315,1.298283082,55.67614552,4.455979438,5.414458771,4.366242839,9.536433604,0.040579581,494.0295643,703.8270887,206.1135236,2.166411029,84.55371389,70.17857444,1.544831043,0.034320849,0.301146882,0.137047821,18.80231959,48.70090496,0.046700059,49.50855335,1.721475725,0.616046039,6.717142358,0.296070136,4.549865617,0.164374703
42,2.470599474,91.28856046,0.11962463,1.430760947,55.76299186,4.837082942,7.219278361,5.775696668,12.41287979,0.044927393,531.0564819,792.2098403,206.1135236,2.316636611,101.1523784,72.37623334,2.564419532,0.034320849,0.447157492,0.191866949,18.80231959,111.9030017,0.046700059,59.31124691,1.763462937,0.616046039,6.717142358,0.356492613,7.482001237,0.164374703
43,2.980405715,107.2511159,0.11962463,1.695716678,55.8498382,5.237730216,10.64843558,10.00405815,14.03610253,0.052898383,566.6308966,858.1791882,292.0851249,2.617087776,109.6370071,74.42738166,2.87338574,0.034320849,0.474534481,0.308357597,19.99883084,136.691912,0.046700059,80.59992485,1.763462937,0.616046039,11.75499913,0.450147452,7.482001237,0.164374703
44,3.568643685,128.2181483,0.11962463,2.040159128,55.95474857,5.628605606,10.64843558,14.53882265,17.38996716,0.059420101,600.8599603,907.0496509,349.9232722,2.846379454,118.7457924,76.18550878,3.058765466,0.034320849,0.584042438,0.404291071,22.22092315,166.7850931,0.046700059,95.15543953,1.847437363,0.673352648,16.79285589,0.655583873,8.59419061,0.164374703
45,4.19609752,154.8799301,0.179436945,2.093150274,56.06104849,5.951077802,27.97470365,17.25048925,22.77286022,0.073912809,633.1841022,,409.2995802,3.32077603,128.5957637,,3.614904641,0.034320849,1.012948604,0.431700636,23.58836458,212.641369,0.093400119,101.195483,1.889424576,0.6876793,16.79285589,0.791534446,8.59419061,0.184921541
46,5.019630678,194.7431767,0.179436945,2.861521894,56.11663015,6.410356384,40.60844078,18.52206173,24.80188865,0.081883798,663.662851,,462.7713361,3.644947023,137.3339561,,3.985664092,0.034320849,1.277592834,0.616715194,25.63952671,251.2684372,0.093400119,109.2158687,1.889424576,0.716332604,22.72927776,1.214491784,8.59419061,0.308202568
47,5.019630678,242.8896954,0.299061575,3.099982052,56.15345299,6.93803816,44.037598,27.33114816,43.8628204,0.08623161,,,521.0891249,3.969118016,142.658792,,4.603596509,0.034320849,1.29584416,0.781172579,25.63952671,297.5097005,0.280200356,117.830357,1.889424576,0.716332604,28.72462193,1.564942149,9.908596233,0.308202568
48,7.843172934,293.4521684,0.418686205,5.113645607,56.17915951,7.612298206,49.99350265,34.94526286,54.72409021,0.102898224,,,590.6702189,4.040277503,145.8575946,,4.603596509,0.034320849,1.706499,1.007301483,27.3488285,384.1960281,0.467000594,126.6428795,1.889424576,0.716332604,38.68249086,1.761315199,9.908596233,0.318475987
49,9.803966167,322.961325,0.418686205,5.246123472,56.19791832,8.452680293,57.93470885,34.94526286,69.16599842,0.113043119,,,678.6927011,4.593740174,146.5402659,,6.08663431,0.034320849,1.843383946,1.363625817,30.4255717,436.532925,0.840601069,142.4856165,1.973399001,0.75931256,39.61051711,2.897257762,9.908596233,0.390389919
50,11.64711181,368.346753,0.418686205,6.676884419,56.22154052,9.625306461,60.64193823,56.0870703,86.79467481,0.140579263,,,777.6973193,5.052323531,151.2604501,,7.353395766,0.034320849,1.980268893,1.733654933,30.4255717,542.7038922,1.307601663,162.2890379,2.015386214,0.845272473,58.6718816,3.870059639,11.42521811,0.400663338
51,14.78438098,425.9845208,1.973806393,10.99566283,56.229183,10.45591666,72.19278361,68.46575175,110.4865656,0.176811032,,,886.145913,5.052323531,153.484008,,13.22375373,0.034320849,2.098902513,2.096831659,34.18603562,615.2954036,2.054802613,174.5671591,2.057373427,1.002865646,73.91802709,5.024128946,14.15513748,0.48285069
52,17.72557083,537.9812613,2.093431023,12.66488394,56.23821502,,81.21688156,68.92535626,147.1284318,0.239129675,,,978.1047632,5.542533326,155.6295463,,17.48748741,0.034320849,2.801578572,2.514827512,36.23719776,751.4953873,2.381703029,191.4990843,2.09936064,1.074498906,83.71385969,6.583028847,14.15513748,0.544491203
53,22.27461113,628.4932651,2.213055653,17.40759152,56.26044768,,94.39206457,101.618557,182.8512676,0.28695561,,,1057.311766,6.111809216,157.7165699,,20.79342584,0.034320849,3.467751978,3.001347276,38.63022025,853.0678939,2.802003563,202.5890003,2.225322278,1.174785471,97.95832605,8.238604711,15.4695431,0.57531146
54,26.70600384,788.1188197,3.050428062,21.19645847,56.27851172,,112.9817063,117.2297902,236.8950365,0.361593054,,,1144.126874,6.63364545,159.1989418,,24.40833048,0.034320849,4.216056352,3.391933565,41.53603328,1059.036148,3.409104335,226.3531059,2.477245555,1.633238337,118.9788571,10.57091232,15.4695431,0.626678555
55,31.01974895,934.9743301,3.170052692,24.98532543,56.29935484,,126.3373713,138.5401193,265.1224026,0.388404563,,,1230.296948,6.63364545,160.6423039,,27.80695878,0.034320849,5.037366031,4.508873305,45.46742737,1235.937854,3.595904573,250.1172115,2.813143257,2.106017856,140.3676525,13.99384563,20.01940872,0.678045649
56,42.00019106,1026.694311,5.024234455,33.83484684,56.31672411,,142.9417115,166.5453541,296.8707297,0.476085444,,,1332.890608,6.942003224,162.280715,,31.82351949,0.034320849,5.803921732,5.756008475,53.50114574,1405.610353,3.82940487,281.208583,3.233015385,2.535817418,171.7290474,19.39863618,25.07481496,0.77050642
57,60.74537437,1102.279168,5.2036714,38.92199687,56.34729402,,158.8241239,193.2177358,346.7967645,0.52680992,,,1430.621695,7.028975929,164.0946701,,36.55070248,0.034320849,6.451843812,7.099077119,58.97091144,1566.363977,4.529905761,303.8835004,4.198721279,3.037250241,214.2267573,23.51340685,33.66900557,0.873240609
58,65.96108437,1204.870944,5.442920659,55.32275662,56.38481164,,172.9017167,218.8023868,393.7031275,0.642751581,,,1529.427841,7.305707265,167.059414,,40.35098685,0.034320849,7.32790747,8.661422276,65.80811857,1713.407772,4.763406058,341.3119668,4.534618982,3.896849366,251.7308021,41.31991076,33.66900557,0.934881123
59,80.15722738,1324.288115,5.741982234,73.92264893,56.45012009,,187.8817193,245.3981677,445.4672233,0.715215119,,,1615.71369,7.614065039,168.7563397,,46.90107047,0.068641699,9.810087833,10.51156786,73.84183694,1881.219498,4.763406058,366.3632948,5.668273727,4.61318197,287.5702919,57.70346534,40.94879055,0.965701379
60,92.70630408,1446.984082,5.741982234,86.13710813,56.48833248,,210.6224462,304.1969046,524.4203,0.742026628,,,1682.698104,7.961955861,171.6235591,,50.17611228,0.068641699,12.94019028,12.58098995,77.77323104,2051.619195,4.950206295,398.8409057,6.424043558,5.888254005,326.1496687,77.00542555,47.31860242,1.160896339
61,110.1965797,1590.301945,5.921419179,106.9891242,56.57865267,,223.7976292,341.7006326,607.1688534,0.906518859,,,1749.732137,8.705177163,174.7833518,,55.49033107,0.102962548,14.10827515,16.01403786,87.00346065,2226.895399,4.950206295,439.1408682,7.095838962,8.581664596,370.47397,100.5309169,57.63163115,1.263630528
62,123.2554627,,5.921419179,123.9462909,56.62242322,,244.0116086,386.5733529,688.6164416,1.012315624,,,1828.823364,8.918655622,174.7833518,,62.75103698,0.102962548,19.0178819,19.02908992,95.37903938,2396.867332,5.277106711,489.8376268,8.187506495,10.32951615,434.1689778,132.467217,61.77706427,1.376638136
63,142.7457474,,6.160668439,147.6068377,56.6870369,,255.9234179,446.6589824,741.1324714,1.447821486,,,1906.029103,9.432585246,176.2657237,,66.76759769,0.137283398,21.08940742,24.31228341,107.8569424,2549.450668,5.463906948,551.3272501,9.027250751,11.84814127,496.6855395,162.3551952,67.13579488,1.448552069
64,156.2360048,,6.399917698,166.2597212,56.73567085,,260.9769127,505.0134349,798.3033312,1.842747768,,,1981.862076,10.33393874,178.2162131,,71.68016041,0.171604247,24.02787094,28.43057043,116.7453116,2698.504953,5.697407245,607.0738811,9.866995007,13.38109304,562.2365998,198.7234839,82.30201361,1.571833096
65,171.0203858,,6.519542328,195.8817719,56.8197381,,273.9716138,575.654648,857.0616073,1.860139017,,,2061.333708,10.96646751,180.244722,,76.31465354,0.171604247,27.54125124,32.41866202,125.1208904,,6.678108493,637.9672184,10.58077762,14.97135142,617.2552987,253.2789382,103.5347198,1.674567285
66,178.785127,,6.519542328,225.7687783,56.89963674,,291.4783638,615.4717187,929.4382449,2.233326237,,,,11.60690288,182.0196674,,81.13452639,0.171604247,28.23480163,,137.0860028,,6.818208671,,11.21058582,16.27507676,,307.1183862,127.8006698,1.787574894
67,190.667534,,6.579354643,253.1122098,56.97050335,,339.6670469,682.5126965,1012.055508,,,,,13.38589004,184.8673818,,85.46005331,0.171604247,,,144.2650703,,7.051708968,,11.88238122,17.83668184,,367.0000818,152.1677279,1.931402759
68,200.6283636,,6.818603903,298.7640822,57.05596015,,,798.6087955,1088.02472,,,,,14.7537335,186.9153957,,89.84737347,0.171604247,,,150.2476265,,7.425309443,,12.51218941,19.88539309,,425.6340533,,2.085504043
69,209.0205587,,6.818603903,329.313478,57.10876272,,,873.0800462,1146.90235,,,,,14.7537335,188.4367774,,96.27387061,0.205925097,,,158.2813449,,7.752209858,,12.84808712,21.83381777,,488.8389852,,2.177964813
70,217.6480489,,,343.5945919,57.16503915,,,905.4974843,,,,,,15.44160854,190.8748891,,102.9784373,0.205925097,,,170.9301781,,,,13.51988252,23.65330258,,568.4909152,,2.239605326
71,,,,,57.22201034,,,985.6678309,,,,,,17.2205957,192.8448833,,107.6129305,0.308887645,,,179.3057568,,,,13.81379301,25.37250083,,644.623236,,2.39370661
72,,,,,57.27133907,,,1378.093481,,,,,,19.72699094,194.5808189,,,,,,190.4162184,,,,14.23366514,26.86247265,,735.5016622,,2.434800286
73,,,,,57.32622595,,,,,,,,,20.69159731,196.2582397,,,,,,203.2359818,,,,14.61155005,28.33811781,,832.5794345,,2.465620543
74,,,,,57.34845861,,,,,,,,,24.81884752,198.0916997,,,,,,,,,,14.90546054,29.61318985,,933.0740979,,
